Trace
Swept SA
A.14.10,N9010A
3797810,-47.3963661193848
3803380,-48.4612731933594
3808950,-50.2282066345215
3814520,-51.1134910583496
3820090,-51.0704803466797
3825660,-48.4362030029297
3831230,-47.6273727416992
3836800,-47.5539970397949
3842370,-47.7978096008301
3847940,-49.1984558105469
3853510,-51.1122093200684
3859080,-51.7944602966309
3864650,-51.8065299987793
3870220,-52.3495903015137
3875790,-53.6724166870117
3881360,-54.9843482971191
3886930,-56.2822723388672
3892500,-57.7932014465332
3898070,-57.9567909240723
3903640,-55.9201736450195
3909210,-55.8240661621094
3914780,-55.9689521789551
3920350,-54.6133422851563
3925920,-52.4499435424805
3931490,-50.9232635498047
3937060,-50.6591567993164
3942630,-50.8428497314453
3948200,-52.744701385498
3953770,-57.5122299194336
3959340,-58.5930633544922
3964910,-58.4400634765625
3970480,-52.5097923278809
3976050,-51.2636680603027
3981620,-51.1922607421875
3987190,-51.6308517456055
3992760,-53.6950798034668
3998330,-56.3641586303711
4003900,-57.5856056213379
4009470,-58.1804084777832
4015040,-59.5534324645996
4020610,-61.5826148986816
4026180,-63.9336471557617
4031750,-67.9072113037109
4037320,-65.3221664428711
4042890,-65.1161193847656
4048460,-56.9193916320801
4054030,-54.0163307189941
4059600,-52.0547523498535
4065170,-51.1302871704102
4070740,-51.0866622924805
4076310,-51.4682922363281
4081880,-53.1443710327148
4087450,-55.5986671447754
4093020,-55.7516899108887
4098590,-55.6683540344238
4104160,-52.7877311706543
4109730,-53.8277893066406
4115300,-52.7881507873535
4120870,-58.1881446838379
4126440,-59.922435760498
4132010,-61.753116607666
4137580,-59.9289779663086
4143150,-65.8490447998047
4148720,-58.484748840332
4154290,-56.1995468139648
4159860,-55.2989730834961
4165430,-55.1657409667969
4171000,-55.1739883422852
4176570,-55.2086601257324
4182140,-55.2130012512207
4187710,-55.3588256835938
4193280,-56.020866394043
4198850,-57.5295448303223
4204420,-59.8522033691406
4209990,-61.2722282409668
4215560,-59.720817565918
4221130,-59.4724044799805
4226700,-58.8150405883789
4232270,-57.1337585449219
4237840,-55.6227264404297
4243410,-55.1184883117676
4248980,-55.1265830993652
4254550,-55.7270812988281
4260120,-56.9339866638184
4265690,-58.2551651000977
4271260,-59.6400833129883
4276830,-61.0226593017578
4282400,-62.1642150878906
4287970,-63.4884605407715
4293540,-65.9672164916992
4299110,-69.7777328491211
4304680,-73.8269195556641
4310250,-75.5896072387695
4315820,-71.9373245239258
4321390,-70.9672393798828
4326960,-67.6142501831055
4332530,-63.5669860839844
4338100,-60.3282661437988
4343670,-58.1577529907227
4349240,-56.8183288574219
4354810,-55.879280090332
4360380,-55.1672401428223
4365950,-54.9255523681641
4371520,-54.9396324157715
4377090,-55.4318389892578
4382660,-56.339973449707
4388230,-56.8648109436035
4393800,-56.7218055725098
4399370,-56.7265090942383
4404940,-57.086498260498
4410510,-57.9588203430176
4416080,-56.3059616088867
4421650,-56.2126655578613
4427220,-52.9559020996094
4432790,-52.8073883056641
4438360,-53.0475921630859
4443930,-54.6685409545898
4449500,-57.6850128173828
4455070,-61.1967124938965
4460640,-63.6355171203613
4466210,-63.6175575256348
4471780,-57.8884162902832
4477350,-55.3087272644043
4482920,-53.8827743530273
4488490,-53.6128807067871
4494060,-53.6819534301758
4499630,-54.5230255126953
4505200,-55.759033203125
4510770,-56.6366271972656
4516340,-57.4551239013672
4521910,-59.0533981323242
4527480,-59.4038543701172
4533050,-59.3243637084961
4538620,-56.4475898742676
4544190,-56.3004455566406
4549760,-56.3686485290527
4555330,-56.5705642700195
4560900,-56.4288368225098
4566470,-56.4278182983398
4572040,-56.528636932373
4577610,-56.7367362976074
4583180,-56.6493949890137
4588750,-56.5068473815918
4594320,-56.5026741027832
4599890,-56.6259994506836
4605460,-57.143482208252
4611030,-57.9711608886719
4616600,-58.8835716247559
4622170,-59.6365966796875
4627740,-59.9153671264648
4633310,-59.828727722168
4638880,-59.8524780273438
4644450,-60.4297676086426
4650020,-62.1172485351563
4655590,-65.1994781494141
4661160,-69.59326171875
4666730,-73.5462188720703
4672300,-75.3969345092773
4677870,-75.0940933227539
4683440,-63.4528656005859
4689010,-60.5572052001953
4694580,-59.548412322998
4700150,-59.5028800964355
4705720,-59.6929054260254
4711290,-60.4745674133301
4716860,-61.9326057434082
4722430,-63.7684783935547
4728000,-62.7495307922363
4733570,-62.6339797973633
4739140,-57.2838249206543
4744710,-55.5597076416016
4750280,-54.8913612365723
4755850,-54.8822898864746
4761420,-55.2285079956055
4766990,-56.1142692565918
4772560,-56.6097412109375
4778130,-56.6068572998047
4783700,-56.8752975463867
4789270,-58.3588905334473
4794840,-61.6010780334473
4800410,-65.8135147094727
4805980,-65.3176879882813
4811550,-65.2090301513672
4817120,-61.5201873779297
4822690,-61.4223976135254
4828260,-61.8485984802246
4833830,-62.7521553039551
4839400,-61.6770820617676
4844970,-61.6422348022461
4850540,-61.3111686706543
4856110,-61.9931182861328
4861680,-62.8134498596191
4867250,-63.4930534362793
4872820,-64.7697296142578
4878390,-66.4631195068359
4883960,-65.831916809082
4889530,-65.8024520874023
4895100,-65.517204284668
4900670,-64.7219314575195
4906240,-62.6150932312012
4911810,-60.0472183227539
4917380,-57.628604888916
4922950,-55.9221343994141
4928520,-55.426929473877
4934090,-56.8978958129883
4939660,-55.4712867736816
4945230,-62.4512748718262
4950800,-63.5933570861816
4956370,-63.4355316162109
4961940,-59.8763427734375
4967510,-59.8413391113281
4973080,-59.8343200683594
4978650,-59.831958770752
4984220,-60.0410575866699
4989790,-60.9498596191406
4995360,-62.2162818908691
5000930,-62.7402572631836
5006500,-60.5821304321289
5012070,-59.3017425537109
5017640,-58.8050193786621
5023210,-59.3998374938965
5028780,-58.8105850219727
5034350,-60.7107353210449
5039920,-61.3747253417969
5045490,-61.5395851135254
5051060,-62.4888877868652
5056630,-64.5600509643555
5062200,-66.1709594726563
5067770,-66.9173278808594
5073340,-68.5989685058594
5078910,-74.3062515258789
5084480,-69.872428894043
5090050,-69.6811676025391
5095620,-62.5643424987793
5101190,-60.6028022766113
5106760,-59.9170608520508
5112330,-59.9131355285645
5117900,-60.2147483825684
5123470,-60.6306381225586
5129040,-59.9697494506836
5134610,-59.9362564086914
5140180,-58.9690399169922
5145750,-58.979850769043
5151320,-59.5574226379395
5156890,-60.889892578125
5162460,-60.9807662963867
5168030,-60.9332466125488
5173600,-59.7358665466309
5179170,-59.8220558166504
5184740,-61.0254402160645
5190310,-64.1623458862305
5195880,-69.0555114746094
5201450,-68.9286575317383
5207020,-64.4449462890625
5212590,-64.2403335571289
5218160,-63.4020957946777
5223730,-61.5508232116699
5229300,-60.0983810424805
5234870,-59.737476348877
5240440,-59.7785110473633
5246010,-60.6615257263184
5251580,-62.5637702941895
5257150,-65.5412292480469
5262720,-70.8930282592773
5268290,-75.6189727783203
5273860,-67.6094360351563
5279430,-64.1511154174805
5285000,-61.8480834960938
